"QID","min","max","n"
"Q001gM",0,1,207
"Q002lM",0,1,207
"Q003nM",0,1,207
"Q004sM",0,1,207
"Q005vM",0,1,207
"Q006wM",0,1,207
"Q007gE",0,1,18
"Q008lE",0,1,18
"Q009nE",0,1,18
"Q010sE",0,1,18
"Q011vE",0,1,18
"Q012wE",0,1,18
"Q013gE",0,1,22
"Q014lE",0,1,22
"Q015nE",0,1,22
"Q016sE",0,1,22
"Q017vE",0,1,22
"Q018wE",0,1,22
"Q019gM",0,1,223
"Q020lM",0,1,223
"Q021nM",0,1,223
"Q022sM",0,1,223
"Q023vM",0,1,223
"Q024wM",0,1,223
"Q025gH_p",0,1,66
"Q026lH_p",0,1,66
"Q027nH",0,1,66
"Q028sH",0,1,66
"Q029vH",0,1,66
"Q030wH",0,1,66
"Q031gH_p",0,1,77
"Q032lH_p",0,1,77
"Q033nH_p",0,1,77
"Q034sH_p",0,1,77
"Q035vH_p",0,1,77
"Q036wH_p",0,1,77
"Q037gM",0,1,207
"Q038lM",0,1,207
"Q039nM",0,1,207
"Q040sM",0,1,207
"Q041vM",0,1,207
"Q042wM",0,1,207
"Q043gH_p",0,1,65
"Q044lH_p",0,1,65
"Q045nH_p",0,1,65
"Q046sH_p",0,1,65
"Q047vH_p",0,1,65
"Q048wH_p",0,1,65
"Q049gH_p",0,1,63
"Q050lH_p",0,1,63
"Q051nH",0,1,63
"Q052sH",0,1,63
"Q053vH_p",0,1,63
"Q054wH",0,1,63
"Q055gM",0,1,225
"Q056lM",0,1,225
"Q057nM",0,1,225
"Q058sM",0,1,225
"Q059vM",0,1,225
"Q060wM",0,1,225
"Q061gM",0,1,221
"Q062lM",0,1,221
"Q063nM",0,1,221
"Q064sM",0,1,221
"Q065vM_p",0,1,221
"Q066wM",0,1,221
"Q067gH_p",0,1,65
"Q068lH",0,1,65
"Q069lH_p",0,1,65
"Q070sH",0,1,65
"Q071vH",0,1,65
"Q072vH_p",0,1,65
"Q073gH",0,1,69
"Q074lH",0,1,69
"Q075lH_p",0,1,69
"Q076sH",0,1,69
"Q077vH",0,1,69
"Q078vH_p",0,1,69
"Q079gE_p",0,1,19
"Q080lE",0,1,19
"Q081nE",0,1,19
"Q082sE",0,1,19
"Q083vE",0,1,19
"Q084wE",0,1,19
"Q085gM",0,1,205
"Q086lM",0,1,205
"Q087nM",0,1,205
"Q088sM",0,1,205
"Q089vM",0,1,205
"Q090wM",0,1,205
"Q091gM",0,1,226
"Q092lM",0,1,226
"Q093nM",0,1,226
"Q094sM",0,1,226
"Q095vM",0,1,226
"Q096wM",0,1,226
"Q097gH",0,1,56
"Q098lH",0,1,56
"Q099lH_p",0,1,56
"Q100nH_p",0,1,56
"Q101vH",0,1,56
"Q102vH_p",0,1,56
"Q103gH",0,1,68
"Q104gH_p",0,1,68
"Q105lH_p",0,1,68
"Q106nH_p",0,1,68
"Q107vH",0,1,68
"Q108vH_p",0,1,68
"Q109gH",0,1,65
"Q110gH",0,1,65
"Q111lH_p",0,1,65
"Q112nH_p",0,1,65
"Q113sH_p",0,1,65
"Q114vH_p",0,1,65
"Q115gH_p",0,1,67
"Q116lH_p",0,1,67
"Q117nH",0,1,67
"Q118sH",0,1,67
"Q119vH_p",0,1,67
"Q120wH",0,1,67
"Q121gE",0,1,22
"Q122lE",0,1,22
"Q123nE",0,1,22
"Q124sE",0,1,22
"Q125vE",0,1,22
"Q126wE",0,1,22
"Q127gE",0,1,25
"Q128lE",0,1,25
"Q129nE",0,1,25
"Q130sE",0,1,25
"Q131vE",0,1,25
"Q132wE",0,1,25
"Q133gH_p",0,1,59
"Q134lH_p",0,1,59
"Q135nH",0,1,59
"Q136sH_p",0,1,59
"Q137vH_p",0,1,59
"Q138wH",0,1,59
"Q139gH",0,1,48
"Q140lH",0,1,48
"Q141lH_p",0,1,48
"Q142nH_p",0,1,48
"Q143vH",0,1,48
"Q144vH_p",0,1,48
"Q145gH_p",0,1,54
"Q146lH_p",0,1,54
"Q147nH",0,1,54
"Q148sH",0,1,54
"Q149vH_p",0,1,54
"Q150wH",0,1,54
"Q151gE",0,1,28
"Q152lE",0,1,28
"Q153nE",0,1,28
"Q154sE",0,1,28
"Q155vE",0,1,28
"Q156wE",0,1,28
"Q157gH_p",0,1,62
"Q158lH_p",0,1,62
"Q159nH_p",0,1,62
"Q160sH_p",0,1,62
"Q161vH_p",0,1,62
"Q162wH_p",0,1,62
"Q163gE",0,1,21
"Q164lE",0,1,21
"Q165nE",0,1,21
"Q166sE",0,1,21
"Q167vE",0,1,21
"Q168wE",0,1,21
"Q169gH_p",0,1,62
"Q170lH_p",0,1,62
"Q171nH",0,1,62
"Q172sH_p",0,1,62
"Q173vH_p",0,1,62
"Q174wH",0,1,62
