"QID","min","max","n"
"Q001gM",0,1,1218
"Q002lM",0,1,1218
"Q003nM",0,1,1218
"Q004sM",0,1,1218
"Q005vM",0,1,1218
"Q006wM",0,1,1218
"Q007gE",0,1,349
"Q008lE",0,1,349
"Q009nE",0,1,349
"Q010sE",0,1,349
"Q011vE",0,1,349
"Q012wE",0,1,349
"Q013gE",0,1,351
"Q014lE",0,1,351
"Q015nE",0,1,351
"Q016sE",0,1,351
"Q017vE",0,1,351
"Q018wE",0,1,351
"Q019gM",0,1,1170
"Q020lM",0,1,1170
"Q021nM",0,1,1170
"Q022sM",0,1,1170
"Q023vM",0,1,1170
"Q024wM",0,1,1170
"Q025gH_p",0,1,164
"Q026lH_p",0,1,164
"Q027nH",0,1,164
"Q028sH",0,1,164
"Q029vH",0,1,164
"Q030wH",0,1,164
"Q031gH_p",0,1,152
"Q032lH_p",0,1,152
"Q033nH_p",0,1,152
"Q034sH_p",0,1,152
"Q035vH_p",0,1,152
"Q036wH_p",0,1,152
"Q037gM",0,1,1275
"Q038lM",0,1,1275
"Q039nM",0,1,1275
"Q040sM",0,1,1275
"Q041vM",0,1,1275
"Q042wM",0,1,1275
"Q043gH_p",0,1,153
"Q044lH_p",0,1,153
"Q045nH_p",0,1,153
"Q046sH_p",0,1,153
"Q047vH_p",0,1,153
"Q048wH_p",0,1,153
"Q049gH_p",0,1,143
"Q050lH_p",0,1,143
"Q051nH",0,1,143
"Q052sH",0,1,143
"Q053vH_p",0,1,143
"Q054wH",0,1,143
"Q055gM",0,1,1205
"Q056lM",0,1,1205
"Q057nM",0,1,1205
"Q058sM",0,1,1205
"Q059vM",0,1,1205
"Q060wM",0,1,1205
"Q061gM",0,1,1135
"Q062lM",0,1,1135
"Q063nM",0,1,1135
"Q064sM",0,1,1135
"Q065vM_p",0,1,1135
"Q066wM",0,1,1135
"Q067gH_p",0,1,143
"Q068lH",0,1,143
"Q069lH_p",0,1,143
"Q070sH",0,1,143
"Q071vH",0,1,143
"Q072vH_p",0,1,143
"Q073gH",0,1,131
"Q074lH",0,1,131
"Q075lH_p",0,1,131
"Q076sH",0,1,131
"Q077vH",0,1,131
"Q078vH_p",0,1,131
"Q079gE_p",0,1,371
"Q080lE",0,1,371
"Q081nE",0,1,371
"Q082sE",0,1,371
"Q083vE",0,1,371
"Q084wE",0,1,371
"Q085gM",0,1,1248
"Q086lM",0,1,1248
"Q087nM",0,1,1248
"Q088sM",0,1,1248
"Q089vM",0,1,1248
"Q090wM",0,1,1248
"Q091gM",0,1,1195
"Q092lM",0,1,1195
"Q093nM",0,1,1195
"Q094sM",0,1,1195
"Q095vM",0,1,1195
"Q096wM",0,1,1195
"Q097gH",0,1,133
"Q098lH",0,1,133
"Q099lH_p",0,1,133
"Q100nH_p",0,1,133
"Q101vH",0,1,133
"Q102vH_p",0,1,133
"Q103gH",0,1,136
"Q104gH_p",0,1,136
"Q105lH_p",0,1,136
"Q106nH_p",0,1,136
"Q107vH",0,1,136
"Q108vH_p",0,1,136
"Q109gH",0,1,144
"Q110gH",0,1,144
"Q111lH_p",0,1,144
"Q112nH_p",0,1,144
"Q113sH_p",0,1,144
"Q114vH_p",0,1,144
"Q115gH_p",0,1,145
"Q116lH_p",0,1,145
"Q117nH",0,1,145
"Q118sH",0,1,145
"Q119vH_p",0,1,145
"Q120wH",0,1,145
"Q121gE",0,1,373
"Q122lE",0,1,373
"Q123nE",0,1,373
"Q124sE",0,1,373
"Q125vE",0,1,373
"Q126wE",0,1,373
"Q127gE",0,1,331
"Q128lE",0,1,331
"Q129nE",0,1,331
"Q130sE",0,1,331
"Q131vE",0,1,331
"Q132wE",0,1,331
"Q133gH_p",0,1,184
"Q134lH_p",0,1,184
"Q135nH",0,1,184
"Q136sH_p",0,1,184
"Q137vH_p",0,1,184
"Q138wH",0,1,184
"Q139gH",0,1,159
"Q140lH",0,1,159
"Q141lH_p",0,1,159
"Q142nH_p",0,1,159
"Q143vH",0,1,159
"Q144vH_p",0,1,159
"Q145gH_p",0,1,149
"Q146lH_p",0,1,149
"Q147nH",0,1,149
"Q148sH",0,1,149
"Q149vH_p",0,1,149
"Q150wH",0,1,149
"Q151gE",0,1,387
"Q152lE",0,1,387
"Q153nE",0,1,387
"Q154sE",0,1,387
"Q155vE",0,1,387
"Q156wE",0,1,387
"Q157gH_p",0,1,156
"Q158lH_p",0,1,156
"Q159nH_p",0,1,156
"Q160sH_p",0,1,156
"Q161vH_p",0,1,156
"Q162wH_p",0,1,156
"Q163gE",0,1,355
"Q164lE",0,1,355
"Q165nE",0,1,355
"Q166sE",0,1,355
"Q167vE",0,1,355
"Q168wE",0,1,355
"Q169gH_p",0,1,152
"Q170lH_p",0,1,152
"Q171nH",0,1,152
"Q172sH_p",0,1,152
"Q173vH_p",0,1,152
"Q174wH",0,1,152
